timestamp,elapsed_sec,ear,mar,perclos,pitch,fusion_score,blink_count,status,phone_detected
2026-07-30 15:06:01,8.06,0.1926,0.0453,0.0,174.53,0.0,0,NORMAL,False
2026-07-30 15:06:01,8.11,0.1926,0.0048,0.0,173.46,0.0,0,NORMAL,False
2026-07-30 15:06:01,8.16,0.1886,0.0158,0.0,177.03,0.0,0,NORMAL,False
2026-07-30 15:06:01,8.36,0.1887,0.004,0.0,176.27,0.0,0,NORMAL,False
2026-07-30 15:06:01,8.42,0.193,0.0116,0.0,177.11,0.0,0,NORMAL,False
2026-07-30 15:06:01,8.48,0.1785,0.0095,0.0,176.3,0.0,0,NORMAL,False
2026-07-30 15:06:01,8.66,0.199,0.0083,0.0,178.48,0.0,0,NORMAL,False
2026-07-30 15:06:01,8.71,0.2084,0.0062,0.0,177.11,0.0,0,NORMAL,False
2026-07-30 15:06:01,8.75,0.1872,0.0507,0.0,-178.85,0.01,0,NORMAL,False
2026-07-30 15:06:02,8.91,0.2105,0.0062,0.0,177.27,0.0,0,NORMAL,False
2026-07-30 15:06:02,9.1,0.2845,0.068,0.0,172.3,0.0,0,NORMAL,False
2026-07-30 15:06:02,9.15,0.3103,0.0074,0.0,176.25,0.0,0,NORMAL,False
2026-07-30 15:06:02,9.3,0.3308,0.0131,0.0,174.48,0.0,0,NORMAL,False
2026-07-30 15:06:02,9.35,0.3249,0.0019,0.0,176.19,0.0,0,NORMAL,False
2026-07-30 15:06:02,9.4,0.3544,0.0075,0.0,178.07,0.0,0,NORMAL,False
2026-07-30 15:06:02,9.55,0.3656,0.0073,0.0,178.67,0.0,0,NORMAL,False
2026-07-30 15:06:02,9.61,0.3574,0.0056,0.0,176.64,0.0,0,NORMAL,False
2026-07-30 15:06:02,9.66,0.3493,0.0266,0.0,176.09,0.0,0,NORMAL,False
2026-07-30 15:06:03,9.85,0.3489,0.0156,0.0,175.11,0.0,0,NORMAL,False
2026-07-30 15:06:03,9.9,0.2392,0.0043,0.0,177.38,0.0,0,NORMAL,False
2026-07-30 15:06:03,10.08,0.202,0.007,0.0,176.58,0.0,0,NORMAL,False
2026-07-30 15:06:03,10.25,0.1921,0.0135,0.0,175.07,0.0,0,NORMAL,False
2026-07-30 15:06:03,10.31,0.079,0.0142,4.35,173.25,0.04,0,NORMAL,False
2026-07-30 15:06:03,10.37,0.1002,0.0116,8.33,176.57,0.078,0,NORMAL,False
2026-07-30 15:06:03,10.51,0.1987,0.1428,8.0,179.9,0.024,1,NORMAL,False
2026-07-30 15:06:03,10.56,0.1963,0.0042,7.69,178.7,0.023,1,NORMAL,False
2026-07-30 15:06:03,10.61,0.2159,0.0033,7.41,-178.04,0.032,1,NORMAL,False
2026-07-30 15:06:03,10.75,0.2304,0.0041,7.14,-177.51,0.041,1,NORMAL,False
2026-07-30 15:06:04,10.8,0.2431,0.0366,6.9,-174.87,0.051,1,NORMAL,False
2026-07-30 15:06:04,10.85,0.2425,0.0086,6.67,-174.08,0.06,1,NORMAL,False
2026-07-30 15:06:04,11.12,0.2712,0.0015,6.45,-169.16,0.069,1,NORMAL,False
2026-07-30 15:06:04,11.18,0.2805,0.0037,6.25,-166.23,0.079,1,NORMAL,False
2026-07-30 15:06:04,11.23,0.2753,0.0023,6.06,-163.81,0.088,1,NORMAL,False
2026-07-30 15:06:04,11.39,0.2907,0.0121,5.88,-164.23,0.098,1,NORMAL,False
2026-07-30 15:06:04,11.43,0.2651,0.0012,5.71,-166.09,0.107,1,NORMAL,False
2026-07-30 15:06:04,11.48,0.2784,0.0045,5.56,-166.26,0.117,1,NORMAL,False
2026-07-30 15:06:04,11.62,0.2892,0.0011,5.41,-165.97,0.126,1,NORMAL,False
2026-07-30 15:06:04,11.66,0.276,0.0004,5.26,-167.87,0.136,1,NORMAL,False
2026-07-30 15:06:04,11.71,0.2717,0.0035,5.13,-170.67,0.145,1,NORMAL,False
2026-07-30 15:06:05,11.88,0.2614,0.002,5.0,-163.17,0.155,1,NORMAL,False
2026-07-30 15:06:05,12.03,0.2811,0.0051,4.88,-160.02,0.165,1,NORMAL,False
2026-07-30 15:06:05,12.09,0.2913,0.0057,4.76,-157.05,0.174,1,NORMAL,False
2026-07-30 15:06:05,12.24,0.2909,0.0045,4.65,-157.82,0.184,1,NORMAL,False
2026-07-30 15:06:05,12.29,0.3016,0.0027,4.55,-156.11,0.194,1,NORMAL,False
2026-07-30 15:06:05,12.33,0.2935,0.0025,4.44,-155.8,0.203,1,NORMAL,False
2026-07-30 15:06:05,12.46,0.2957,0.0015,4.35,-158.91,0.213,1,NORMAL,False
2026-07-30 15:06:05,12.51,0.3002,0.005,4.26,-157.98,0.213,1,NORMAL,False
2026-07-30 15:06:05,12.55,0.2924,0.003,4.17,-159.3,0.213,1,NORMAL,False
2026-07-30 15:06:05,12.69,0.0925,0.0034,6.12,-163.78,0.245,1,NORMAL,False
2026-07-30 15:06:06,12.74,0.1775,0.0021,6.0,-166.38,0.218,1,NORMAL,False
2026-07-30 15:06:06,12.91,0.2114,0.0022,5.88,-168.42,0.218,1,NORMAL,False
2026-07-30 15:06:06,13.07,0.1144,0.0017,7.69,-170.57,0.25,1,NORMAL,False
2026-07-30 15:06:06,13.11,0.2435,0.0018,7.55,-168.75,0.223,1,NORMAL,False
2026-07-30 15:06:06,13.18,0.2946,0.0029,7.41,-168.81,0.222,1,NORMAL,False
2026-07-30 15:06:06,13.33,0.3086,0.0051,7.27,-172.09,0.222,1,NORMAL,False
2026-07-30 15:06:06,13.38,0.3082,0.0044,7.14,-173.01,0.221,1,NORMAL,False
2026-07-30 15:06:06,13.43,0.2035,0.0023,7.02,-163.51,0.221,1,NORMAL,False
2026-07-30 15:06:06,13.58,0,0,0,0,0,1,No Face,False
2026-07-30 15:06:06,13.63,0.2429,0.0033,6.9,131.05,0.021,1,NORMAL,False
2026-07-30 15:06:07,13.68,0.1656,0.0106,8.47,131.4,0.052,1,NORMAL,False
2026-07-30 15:06:07,13.92,0,0,0,0,0,1,No Face,False
2026-07-30 15:06:07,13.97,0.2082,0.4029,8.33,176.95,0.025,1,NORMAL,False
2026-07-30 15:06:07,14.01,0.192,0.4319,8.2,178.02,0.025,1,NORMAL,False
2026-07-30 15:06:07,14.14,0.2057,0.3796,8.06,179.38,0.024,1,NORMAL,False
2026-07-30 15:06:07,14.19,0.1521,0.2026,9.52,178.94,0.055,1,NORMAL,False
2026-07-30 15:06:07,14.22,0.1521,0.0958,10.94,176.93,0.086,1,NORMAL,False
2026-07-30 15:06:07,14.34,0.1375,0.2535,12.31,174.88,0.117,1,NORMAL,False
2026-07-30 15:06:07,14.39,0.1421,0.2847,13.64,172.67,0.148,1,NORMAL,False
2026-07-30 15:06:07,14.43,0.0868,0.3365,14.93,174.94,0.178,1,NORMAL,False
2026-07-30 15:06:07,14.55,0.1017,0.1502,16.18,-177.11,0.219,1,NORMAL,False
2026-07-30 15:06:07,14.69,0.3103,0.442,15.94,-176.63,0.068,2,NORMAL,False
2026-07-30 15:06:07,14.74,0.1334,0.3759,17.14,-173.67,0.108,2,NORMAL,False
2026-07-30 15:06:08,14.89,0.1483,0.3687,18.31,-175.79,0.148,2,NORMAL,False
2026-07-30 15:06:08,14.94,0.1306,0.3833,19.44,-177.03,0.188,2,NORMAL,False
2026-07-30 15:06:08,14.99,0.1288,0.362,20.55,-177.65,0.228,2,NORMAL,False
2026-07-30 15:06:08,15.16,0.2244,0.3735,20.27,177.14,0.061,3,NORMAL,False
2026-07-30 15:06:08,15.21,0.209,0.3487,20.0,176.0,0.06,3,NORMAL,False
2026-07-30 15:06:08,15.26,0.2218,0.3329,19.74,174.98,0.059,3,NORMAL,False
2026-07-30 15:06:08,15.44,0.2264,0.3184,19.48,170.97,0.058,3,NORMAL,False
2026-07-30 15:06:08,15.5,0.168,0.4252,20.51,166.23,0.088,3,NORMAL,False
2026-07-30 15:06:08,15.67,0.1634,0.323,21.52,167.12,0.118,3,NORMAL,False
2026-07-30 15:06:09,15.85,0.2424,0.3352,21.25,174.33,0.064,4,NORMAL,False
2026-07-30 15:06:09,15.91,0.2316,0.3176,20.99,176.77,0.063,4,NORMAL,False
2026-07-30 15:06:09,15.96,0.2284,0.3325,20.73,176.72,0.062,4,NORMAL,False
2026-07-30 15:06:09,16.11,0.2313,0.3487,20.48,179.13,0.061,4,NORMAL,False
2026-07-30 15:06:09,16.15,0.2524,0.3017,20.24,179.88,0.061,4,NORMAL,False
2026-07-30 15:06:09,16.2,0.2246,0.2694,20.0,177.72,0.06,4,NORMAL,False
2026-07-30 15:06:09,16.33,0.2125,0.2595,19.77,-179.35,0.069,4,NORMAL,False
2026-07-30 15:06:09,16.38,0.1736,0.2424,19.54,174.9,0.059,4,NORMAL,False
2026-07-30 15:06:09,16.43,0.0675,0.2988,20.45,169.1,0.088,4,NORMAL,False
2026-07-30 15:06:09,16.74,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,16.77,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,16.81,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,16.84,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,16.88,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,16.93,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,16.97,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.01,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.07,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.11,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.25,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.3,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.35,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.4,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.44,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.47,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.52,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.56,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.6,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:10,17.65,0,0,0,0,0,4,No Face,False
2026-07-30 15:06:11,17.81,0.0938,0.3118,21.35,163.77,0.117,4,NORMAL,False
2026-07-30 15:06:11,18.0,0.0757,0.3846,22.22,157.12,0.147,4,NORMAL,False
2026-07-30 15:06:11,18.05,0.0148,0.4168,23.08,158.07,0.176,4,NORMAL,False
