timestamp,elapsed_sec,ear,mar,perclos,pitch,fusion_score,severity,blink_count,phone_detected
2026-07-30 21:31:09,0.56,0.2658,0.0742,0.0,175.43,0.0,NORMAL,0,False
2026-07-30 21:31:09,0.64,0.2714,0.0027,0.0,-177.69,0.01,NORMAL,0,False
2026-07-30 21:31:09,0.68,0.2779,0.004,0.0,-177.5,0.02,NORMAL,0,False
2026-07-30 21:31:09,0.74,0.0461,0.0013,25.0,179.02,0.102,NORMAL,0,False
2026-07-30 21:31:09,0.83,0.1628,0.0077,40.0,-178.16,0.183,NORMAL,0,False
2026-07-30 21:31:09,0.86,0.1507,0.0039,50.0,-179.71,0.25,NORMAL,0,False
2026-07-30 21:31:09,0.91,0.1522,0.0046,57.14,-179.42,0.308,MILD FATIGUE,0,False
2026-07-30 21:31:09,0.95,0.0414,0.0017,62.5,-176.18,0.361,MILD FATIGUE,0,False
2026-07-30 21:31:09,0.99,0.0429,0.0025,66.67,-177.31,0.41,MILD FATIGUE,0,False
2026-07-30 21:31:09,1.05,0.2526,0.0101,60.0,-177.91,0.24,NORMAL,1,False
2026-07-30 21:31:09,1.17,0.2658,0.0039,54.55,-174.99,0.234,NORMAL,1,False
2026-07-30 21:31:09,1.22,0.2627,0.004,50.0,-174.49,0.23,NORMAL,1,False
2026-07-30 21:31:09,1.29,0.3008,0.0053,46.15,-178.46,0.228,NORMAL,1,False
2026-07-30 21:31:09,1.33,0.2888,0.0027,42.86,-173.52,0.229,NORMAL,1,False
2026-07-30 21:31:09,1.36,0.2839,0.0055,40.0,-174.79,0.23,NORMAL,1,False
2026-07-30 21:31:09,1.43,0.3068,0.0033,37.5,-172.26,0.232,NORMAL,1,False
2026-07-30 21:31:10,1.53,0.3195,0.007,35.29,-177.29,0.236,NORMAL,1,False
2026-07-30 21:31:10,1.58,0.3224,0.0105,33.33,-177.9,0.24,NORMAL,1,False
2026-07-30 21:31:10,1.67,0.3251,0.0028,31.58,-172.68,0.245,NORMAL,1,False
2026-07-30 21:31:10,1.73,0.3198,0.0131,30.0,-172.42,0.25,NORMAL,1,False
2026-07-30 21:31:10,1.81,0.3262,0.0113,28.57,-170.27,0.256,NORMAL,1,False
2026-07-30 21:31:10,1.88,0.33,0.0122,27.27,-170.57,0.262,NORMAL,1,False
2026-07-30 21:31:10,1.92,0.3242,0.0071,26.09,-176.83,0.268,NORMAL,1,False
2026-07-30 21:31:10,1.95,0.3062,0.2324,25.0,178.95,0.075,NORMAL,1,False
2026-07-30 21:31:10,2.02,0.3113,0.2403,24.0,177.27,0.072,NORMAL,1,False
2026-07-30 21:31:10,2.05,0.3152,0.3244,23.08,179.35,0.069,NORMAL,1,False
2026-07-30 21:31:10,2.09,0.3054,0.3149,22.22,179.52,0.067,NORMAL,1,False
2026-07-30 21:31:10,2.2,0.3,0.3403,21.43,178.67,0.064,NORMAL,1,False
2026-07-30 21:31:10,2.25,0.2849,0.3312,20.69,178.65,0.062,NORMAL,1,False
2026-07-30 21:31:10,2.28,0.2964,0.3139,20.0,177.73,0.06,NORMAL,1,False
2026-07-30 21:31:10,2.41,0.3102,0.2998,19.35,178.01,0.058,NORMAL,1,False
2026-07-30 21:31:11,2.45,0.3051,0.3413,18.75,176.77,0.056,NORMAL,1,False
2026-07-30 21:31:11,2.48,0.296,0.352,18.18,176.89,0.055,NORMAL,1,False
2026-07-30 21:31:11,2.57,0.3094,0.2922,17.65,176.66,0.053,NORMAL,1,False
2026-07-30 21:31:11,2.62,0.3202,0.3196,17.14,177.04,0.051,NORMAL,1,False
2026-07-30 21:31:11,2.66,0.3196,0.3266,16.67,177.63,0.05,NORMAL,1,False
2026-07-30 21:31:11,2.75,0.3251,0.5931,16.22,173.9,0.049,NORMAL,1,False
2026-07-30 21:31:11,2.78,0.3227,0.5904,15.79,173.98,0.047,NORMAL,1,False
2026-07-30 21:31:11,2.81,0.3211,0.5919,15.38,173.9,0.046,NORMAL,1,False
2026-07-30 21:31:11,2.86,0.3236,0.9455,15.0,172.55,0.145,NORMAL,1,False
2026-07-30 21:31:11,2.94,0.298,0.9393,14.63,171.64,0.144,NORMAL,1,False
2026-07-30 21:31:11,2.97,0.2984,0.9178,14.29,171.01,0.143,NORMAL,1,False
2026-07-30 21:31:11,3.04,0.3031,0.917,13.95,170.97,0.142,NORMAL,1,False
2026-07-30 21:31:11,3.08,0.2695,0.907,13.64,170.15,0.141,NORMAL,1,False
2026-07-30 21:31:11,3.11,0.2785,0.8665,13.33,169.75,0.14,NORMAL,1,False
2026-07-30 21:31:11,3.17,0.2223,1.0086,13.04,168.88,0.139,NORMAL,1,False
2026-07-30 21:31:11,3.2,0.2233,1.0178,12.77,168.57,0.138,NORMAL,1,False
2026-07-30 21:31:11,3.25,0.2004,0.9599,12.5,169.12,0.138,NORMAL,1,False
2026-07-30 21:31:11,3.31,0.2098,0.9632,12.24,168.38,0.137,NORMAL,1,False
2026-07-30 21:31:11,3.34,0.2002,0.8963,12.0,168.36,0.136,NORMAL,1,False
2026-07-30 21:31:11,3.42,0.2175,0.869,11.76,168.41,0.135,NORMAL,1,False
2026-07-30 21:31:12,3.51,0.2023,0.8144,11.54,167.24,0.135,NORMAL,1,False
2026-07-30 21:31:12,3.54,0.2017,0.7627,11.32,167.12,0.134,NORMAL,1,False
2026-07-30 21:31:12,3.58,0.1994,0.7766,11.11,166.71,0.133,NORMAL,1,False
2026-07-30 21:31:12,3.63,0.1992,0.7623,10.91,167.55,0.133,NORMAL,1,False
2026-07-30 21:31:12,3.67,0.2064,0.7682,10.71,167.33,0.132,NORMAL,1,False
2026-07-30 21:31:12,3.7,0.2094,0.7794,10.53,167.27,0.132,NORMAL,1,False
2026-07-30 21:31:12,3.76,0.2038,0.5836,10.34,167.2,0.031,NORMAL,1,False
2026-07-30 21:31:12,3.79,0.2076,0.6184,10.17,165.84,0.131,NORMAL,1,False
2026-07-30 21:31:12,4.12,0.0326,0.148,11.67,161.08,0.062,NORMAL,1,False
2026-07-30 21:31:12,4.23,0.0299,0.0037,13.11,163.39,0.093,NORMAL,1,False
2026-07-30 21:31:12,4.26,0.0287,0.0033,14.52,162.9,0.124,NORMAL,1,False
2026-07-30 21:31:12,4.29,0.0288,0.0036,15.87,162.78,0.154,NORMAL,1,False
2026-07-30 21:31:12,4.36,0.0228,0.0014,17.19,161.92,0.185,NORMAL,1,False
2026-07-30 21:31:12,4.39,0.0256,0.0007,18.46,162.02,0.215,NORMAL,1,False
2026-07-30 21:31:12,4.42,0.0286,0.3452,19.7,163.99,0.246,NORMAL,1,False
2026-07-30 21:31:13,4.5,0.176,0.5603,20.9,165.01,0.276,NORMAL,1,False
2026-07-30 21:31:13,4.54,0.1848,0.5403,22.06,164.39,0.306,MILD FATIGUE,1,False
2026-07-30 21:31:13,4.57,0.1907,0.5392,23.19,164.82,0.336,MILD FATIGUE,1,False
2026-07-30 21:31:13,4.63,0.2388,0.7636,22.86,165.68,0.169,NORMAL,2,False
2026-07-30 21:31:13,4.72,0.2171,1.0587,22.54,167.34,0.168,NORMAL,2,False
2026-07-30 21:31:13,4.75,0.2085,1.0805,22.22,167.87,0.167,NORMAL,2,False
2026-07-30 21:31:13,4.93,0.2058,1.0503,21.92,168.4,0.166,NORMAL,2,False
2026-07-30 21:31:13,4.97,0.2187,1.0585,21.62,168.79,0.165,NORMAL,2,False
2026-07-30 21:31:13,5.02,0.2229,1.1407,21.33,168.93,0.164,NORMAL,2,False
2026-07-30 21:31:13,5.1,0.218,1.0616,21.05,168.5,0.163,NORMAL,2,False
