timestamp,elapsed_sec,ear,mar,perclos,pitch,fusion_score,severity,blink_count,phone_detected,ground_truth
2026-08-06 14:03:16,0.9,0.2408,0.0678,0.0,166.86,0.0,NORMAL,0,False,0
2026-08-06 14:03:17,1.1,0.2212,0.0565,0.0,170.95,0.0,NORMAL,0,False,0
2026-08-06 14:03:17,1.23,0.1436,0.0474,33.33,169.22,0.1,NORMAL,0,False,0
2026-08-06 14:03:17,1.27,0.1321,0.0501,50.0,168.84,0.18,NORMAL,0,False,0
2026-08-06 14:03:17,1.33,0.1595,0.0429,60.0,170.28,0.26,NORMAL,0,False,0
2026-08-06 14:03:17,1.45,0.1505,0.051,66.67,169.4,0.379,MILD FATIGUE,0,False,0
2026-08-06 14:03:17,1.51,0.2284,0.0406,57.14,170.76,0.171,NORMAL,1,False,0
2026-08-06 14:03:17,1.56,0.2671,0.0481,50.0,171.02,0.15,NORMAL,1,False,0
2026-08-06 14:03:17,1.62,0.2897,0.0419,44.44,170.19,0.133,NORMAL,1,False,0
2026-08-06 14:03:17,1.67,0.2983,0.0495,40.0,171.02,0.12,NORMAL,1,False,0
2026-08-06 14:03:17,1.82,0.2633,0.0559,36.36,168.31,0.109,NORMAL,1,False,0
2026-08-06 14:03:17,1.87,0.2555,0.061,33.33,167.58,0.1,NORMAL,1,False,0
2026-08-06 14:03:17,1.93,0.2502,0.0439,30.77,168.57,0.092,NORMAL,1,False,0
2026-08-06 14:03:17,1.99,0.2471,0.0525,28.57,169.23,0.086,NORMAL,1,False,0
2026-08-06 14:03:18,2.04,0.2351,0.0471,26.67,168.46,0.08,NORMAL,1,False,0
2026-08-06 14:03:18,2.23,0.2374,0.0397,25.0,169.58,0.075,NORMAL,1,False,0
2026-08-06 14:03:18,2.29,0.2354,0.0281,23.53,164.31,0.071,NORMAL,1,False,0
2026-08-06 14:03:18,2.34,0.2199,0.0257,22.22,164.85,0.067,NORMAL,1,False,0
2026-08-06 14:03:18,2.4,0.2158,0.0293,21.05,163.77,0.063,NORMAL,1,False,0
2026-08-06 14:03:18,2.45,0.2177,0.0221,20.0,162.94,0.06,NORMAL,1,False,0
2026-08-06 14:03:18,2.58,0.2236,0.0272,19.05,161.84,0.057,NORMAL,1,False,0
2026-08-06 14:03:18,2.63,0.2304,0.0655,18.18,161.23,0.055,NORMAL,1,False,0
2026-08-06 14:03:18,2.68,0.226,0.0419,17.39,162.68,0.052,NORMAL,1,False,0
2026-08-06 14:03:18,2.72,0.228,0.0556,16.67,162.21,0.05,NORMAL,1,False,0
2026-08-06 14:03:18,2.77,0.2122,0.0367,16.0,162.76,0.048,NORMAL,1,False,0
2026-08-06 14:03:18,2.91,0.2615,0.0324,15.38,169.69,0.046,NORMAL,1,False,0
2026-08-06 14:03:18,2.96,0.2577,0.0448,14.81,172.59,0.044,NORMAL,1,False,0
2026-08-06 14:03:18,3.01,0.265,0.038,14.29,175.1,0.043,NORMAL,1,False,0
2026-08-06 14:03:19,3.05,0.2405,0.0562,13.79,176.06,0.041,NORMAL,1,False,0
2026-08-06 14:03:19,3.1,0.2426,0.0412,13.33,176.97,0.04,NORMAL,1,False,0
2026-08-06 14:03:19,3.26,0.2703,0.0255,12.9,-171.56,0.039,NORMAL,1,False,0
2026-08-06 14:03:19,3.32,0.2541,0.0049,12.5,178.58,0.037,NORMAL,1,False,0
2026-08-06 14:03:19,3.39,0.2632,0.0024,12.12,-178.84,0.036,NORMAL,1,False,0
